プレートの購入URL,プレートが室内用か外用か,プレートの奥は何に接するか,プレートの横幅,プレートの高さ,プレートの奥行き,プレートの角度
https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88-NDP-600E-%E3%82%B0%E3%83%AC%E3%83%BC/dp/B003BDPNIM/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=H5TUAKN3KNRT&keywords=%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88&qid=1572106465&sprefix=%E6%AE%B5%E5%B7%AE%2Caps%2C241&sr=8-5,outside,ground,60,10,27,-1
https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88-NDP-600E-%E3%82%B0%E3%83%AC%E3%83%BC/dp/B01HPUTF2G/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=H5TUAKN3KNRT&keywords=%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88&qid=1572106465&sprefix=%E6%AE%B5%E5%B7%AE%2Caps%2C241&sr=8-5&th=1,outside,ground,90,10,27,-1
