plate_is_use_for,plate_is_on,width,min_height,max_height,depth,angle,can_bind,url,image_url
i,g,90,3.5,-1,20,-1,y,https://www.amazon.co.jp/%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E5%A4%A9%E7%84%B6%E3%82%B4%E3%83%A0%E8%A3%BD-%E5%AE%A4%E5%86%85%E7%94%A8-%E5%B9%8590%C3%97%E5%A5%A5%E8%A1%8C20%C3%97%E9%AB%98%E3%81%953cm-RTR90-3/dp/B07PP1QR8X/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-7&th=1,https://images-na.ssl-images-amazon.com/images/I/61R1LF6WhzL._SL1500_.jpg
i,g,90,4,-1,20,-1,y,https://www.amazon.co.jp/%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E5%A4%A9%E7%84%B6%E3%82%B4%E3%83%A0%E8%A3%BD-%E5%AE%A4%E5%86%85%E7%94%A8-%E5%B9%8590%C3%97%E5%A5%A5%E8%A1%8C20%C3%97%E9%AB%98%E3%81%953cm-RTR90-3/dp/B07PSFB2GB/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-7&th=1,https://images-na.ssl-images-amazon.com/images/I/61sa76miLBL._SL1500_.jpg
i,g,90,4.5,-1,25,-1,y,https://www.amazon.co.jp/%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E5%A4%A9%E7%84%B6%E3%82%B4%E3%83%A0%E8%A3%BD-%E5%AE%A4%E5%86%85%E7%94%A8-%E5%B9%8590%C3%97%E5%A5%A5%E8%A1%8C20%C3%97%E9%AB%98%E3%81%953cm-RTR90-3/dp/B07PSDX5XB/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-7&th=1,https://images-na.ssl-images-amazon.com/images/I/61FsOdeT5mL._SL1500_.jpg
i,g,80,0.5,-1,6,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A854/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,1,-1,6,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A8AE/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,1.5,-1,6,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A8FY/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,2,-1,7.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A8NG/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,2.5,-1,9.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A8TK/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,3,-1,11.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A8YK/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,3.5,-1,13.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A93A/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
